Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
20Cube Logistics,3.7,Logistics,51-200 Employees,12 years old,Singapore +20 more,Singapore +20 more,N/A,N/A
Trinity Mobility,3.1,IT Services & Consulting,201-500 Employees,12 years old,Bangalore +6 more,Bangalore +6 more,N/A,"Work Life Balance, Company Culture, Job Security"
Centillion Networks,3.7,Telecom,51-200 Employees,16 years old,Hyderabad/Secunderabad +2 more,Hyderabad/Secunderabad +2 more,Job Security,N/A
Hindustan Platinum,3.8,Metals & Mining,501-1k Employees,62 years old,Navi Mumbai +2 more,Navi Mumbai +2 more,Work Life Balance,N/A
Mehta Cad Cam Systems,3.8,Industrial Machinery,51-200 Employees,34 years old,Ahmedabad +16 more,Ahmedabad +16 more,N/A,N/A
Electrical Manufacturing Company,4.2,Electrical Equipment,5k-10k Employees,70 years old,Kolkata +34 more,Kolkata +34 more,"Company Culture, Work Satisfaction, Job Security",N/A
Kiran Motors,4.0,Auto Components,501-1k Employees (Global),37 years old,Ahmedabad +10 more,Ahmedabad +10 more,"Work Life Balance, Skill Development / Learning",N/A
Trafigura,3.3,Logistics,501-1k Employees,30 years old,Singapore +2 more,Singapore +2 more,Salary & Benefits,Salary & Benefits
Scholastic,3.9,Printing & Publishing,51-200 Employees,26 years old,Gurgaon/Gurugram +26 more,Gurgaon/Gurugram +26 more,Work Life Balance,N/A
Kiran Motors,4.0,Auto Components,501-1k Employees (Global),37 years old,Ahmedabad +10 more,Ahmedabad +10 more,"Work Life Balance, Skill Development / Learning",N/A
Kinapse,4.2,Pharma,51-200 Employees,18 years old,Farnborough +3 more,Farnborough +3 more,"Company Culture, Work Life Balance, Job Security",N/A
Aligarh Muslim University,4.6,Education & Training,5k-10k Employees,146 years old,Aligarh +7 more,Aligarh +7 more,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
Mitsubishi Power India,4.1,Industrial Machinery,5k-10k Employees,9 years old,Yokohama +9 more,Yokohama +9 more,"Salary & Benefits, Work Life Balance, Job Security",N/A
Inductotherm,4.1,Industrial Machinery,51-200 Employees,70 years old,New Jersey +10 more,New Jersey +10 more,"Job Security, Skill Development / Learning, Work Satisfaction",N/A
Bsr Infratech India,3.7,Engineering & Construction,1k-5k Employees,15 years old,Bengaluru +10 more,Bengaluru +10 more,N/A,Promotions / Appraisal
Amagi Media Labs,3.6,Software Product,201-500 Employees,Indian Unicorn,15 years old,Bangalore/Bengaluru +3 more,Salary & Benefits,N/A
Kamdhenu,4.0,Building Material,501-1k Employees,Public,28 years old,Alwar +26 more,"Work Life Balance, Job Security",N/A
DGS Technical Services,3.2,Design,501-1k Employees,19 years old,Elgin +10 more,Elgin +10 more,Job Security,Job Security
Sumeru Software Solutions,3.4,IT Services & Consulting,201-500 Employees,22 years old,Bangalore/Bengaluru +9 more,Bangalore/Bengaluru +9 more,N/A,N/A
Sage Metals,3.5,Metals & Mining,201-500 Employees,40 years old,New Delhi +5 more,New Delhi +5 more,N/A,N/A
S V S Projects India,4.0,Engineering & Construction,11-50 Employees,32 years old,Hyderabad +7 more,Hyderabad +7 more,"Skill Development / Learning, Company Culture",N/A
KerryIndev Logistics,3.6,Logistics,201-500 Employees,39 years old,Chennai +22 more,Chennai +22 more,N/A,N/A
Pioneer e Solutions,3.6,IT Services & Consulting,11-50 Employees,11 years old,New Delhi +32 more,New Delhi +32 more,N/A,N/A
Enova Facilities Management LLC,3.8,Facility Management Services,1k-5k Employees (Global),21 years old,Chicago +10 more,Chicago +10 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Infiniminds,4.0,IT Services & Consulting,1k-5k Employees,9 years old,Bengaluru +25 more,Bengaluru +25 more,Work Life Balance,N/A
Inorbit Mall,4.1,Retail,51-200 Employees,19 years old,Mumbai +6 more,Mumbai +6 more,"Work Life Balance, Company Culture, Job Security",N/A
20Cube Logistics,3.7,Logistics,51-200 Employees,12 years old,Singapore +20 more,Singapore +20 more,N/A,N/A
Xalta Food And Beverages,2.8,Beverage,501-1k Employees (Global),8 years old,New Delhi +28 more,New Delhi +28 more,N/A,"Promotions / Appraisal, Job Security, Salary & Benefits"
Brinks Arya India,3.9,Financial Services,51-200 Employees,42 years old,Coppell +28 more,Coppell +28 more,N/A,N/A
Bsr Infratech India,3.7,Engineering & Construction,1k-5k Employees,15 years old,Bengaluru +10 more,Bengaluru +10 more,N/A,Promotions / Appraisal
Amagi Media Labs,3.6,Software Product,201-500 Employees,Indian Unicorn,15 years old,Bangalore/Bengaluru +3 more,Salary & Benefits,N/A
Sage Metals,3.5,Metals & Mining,201-500 Employees,40 years old,New Delhi +5 more,New Delhi +5 more,N/A,N/A
Aligarh Muslim University,4.6,Education & Training,5k-10k Employees,146 years old,Aligarh +7 more,Aligarh +7 more,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
Mitsubishi Power India,4.1,Industrial Machinery,5k-10k Employees,9 years old,Yokohama +9 more,Yokohama +9 more,"Salary & Benefits, Work Life Balance, Job Security",N/A
Inductotherm,4.1,Industrial Machinery,51-200 Employees,70 years old,New Jersey +10 more,New Jersey +10 more,"Job Security, Skill Development / Learning, Work Satisfaction",N/A
Gracenote,3.7,Media & Entertainment,501-1k Employees,Public,25 years old,Emeryville +4 more,"Work Life Balance, Company Culture","Work Life Balance, Company Culture"
Hansa Direct,3.8,Marketing & Advertising,201-500 Employees,15 years old,Mumbai +3 more,Mumbai +3 more,Company Culture,N/A
Inorbit Mall,4.1,Retail,51-200 Employees,19 years old,Mumbai +6 more,Mumbai +6 more,"Work Life Balance, Company Culture, Job Security",N/A
Vertex Global Services,4.0,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Work Life Balance, Company Culture",N/A
QO BOX,4.7,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Quale Infotech,4.6,IT Services & Consulting,51-200 Employees,6 years old,New Delhi +9 more,New Delhi +9 more,"Skill Development / Learning, Promotions / Appraisal, Job Security",N/A
Saleswallah,4.8,Education & Training,51-200 Employees,2 years old,Noida +1 more,Noida +1 more,"Work Satisfaction, Job Security, Promotions / Appraisal",N/A
Bizcrum Infotech,3.8,N/A,N/A,N/A,N/A,N/A,"Company Culture, Salary & Benefits, Work Life Balance",N/A
Vogo Automotive,3.8,Internet,51-200 Employees,Startup,7 years old,Montpellier +11 more,Skill Development / Learning,N/A
Jindal Group Of Companies,3.6,Iron & Steel,51-200 Employees,71 years old,New Delhi +21 more,New Delhi +21 more,N/A,Promotions / Appraisal
Sellcraft Global Solutions,3.8,IT Services & Consulting,51-200 Employees,36 years old,Pune +8 more,Pune +8 more,Work Life Balance,N/A
Dr. Willmar Schwabe India,4.1,Healthcare,201-500 Employees,157 years old,Karlsruhe +20 more,Karlsruhe +20 more,"Work Life Balance, Company Culture",N/A
MAHLE Engine Components,3.5,Automobile,201-500 Employees,103 years old,Stuttgart +15 more,Stuttgart +15 more,N/A,Promotions / Appraisal
IFAS Edutech Private Limited,4.1,EdTech,201-500 Employees,21 years old,Pune +4 more,Pune +4 more,"Company Culture, Skill Development / Learning, Work Satisfaction",N/A
Paushak,3.4,Chemicals,51-200 Employees,Public,51 years old,Vadodara/Baroda +4 more,N/A,N/A
Teach For India,3.7,Non-Profit,1k-5k Employees,16 years old,Mumbai +11 more,Mumbai +11 more,Skill Development / Learning,N/A
AGC Networks,3.7,IT Services & Consulting,501-1k Employees,Public,37 years old,Mumbai +13 more,"Skill Development / Learning, Job Security",N/A
Equate Petrochemical,4.7,Petrochemicals,1k-5k Employees,28 years old,Ahmadi +10 more,Ahmadi +10 more,"Salary & Benefits, Work Satisfaction, Skill Development / Learning",N/A
Apis India,4.0,Food Processing,201-500 Employees,Public,99 years old,Delhi/NCR +25 more,Work Life Balance,N/A
Expeditors International,4.0,Logistics,1k-5k Employees,Forbes Global 2000,44 years old,Seattle +17 more,"Job Security, Work Life Balance, Company Culture",N/A
DSM SOFT,3.4,IT Services & Consulting,501-1k Employees,32 years old,Chennai +3 more,Chennai +3 more,Job Security,Job Security
Inube Software Solutions,3.0,IT Services & Consulting,201-500 Employees,13 years old,Bangalore +5 more,Bangalore +5 more,N/A,"Company Culture, Work Life Balance, Promotions / Appraisal"
Tata Realty and Infrastructure,3.9,Real Estate,501-1k Employees,Public,16 years old,Mumbai +24 more,"Work Life Balance, Company Culture",N/A
Medikabazaar,3.6,Medical Equipment,501-1k Employees,Startup,9 years old,Mumbai +18 more,N/A,N/A
Bando India,3.6,Auto Components,201-500 Employees,20 years old,Gurgaon/Gurugram +9 more,Gurgaon/Gurugram +9 more,N/A,N/A
AB Mauri India,4.2,FMCG,201-500 Employees,63 years old,Bangalore/Bengaluru +20 more,Bangalore/Bengaluru +20 more,"Work Life Balance, Job Security, Company Culture",N/A
Genus Electrotech,3.7,Semiconductors,1k-5k Employees,24 years old,Gandhidham +11 more,Gandhidham +11 more,N/A,N/A
Mapro Foods,3.5,FMCG,201-500 Employees,64 years old,Mahabaleshwar +24 more,Mahabaleshwar +24 more,N/A,N/A
Enercon,3.9,Power,201-500 Employees,39 years old,Bremen +22 more,Bremen +22 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
Careers360,3.1,Education & Training,201-500 Employees,15 years old,Delhi +6 more,Delhi +6 more,N/A,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Jindal Group Of Companies,3.6,Iron & Steel,51-200 Employees,71 years old,New Delhi +21 more,New Delhi +21 more,N/A,Promotions / Appraisal
Yuken India,3.8,Industrial Machinery,201-500 Employees,Public,47 years old,Bangalore/Bengaluru +8 more,"Work Life Balance, Skill Development / Learning",N/A
Merilytics,3.3,Analytics & KPO,501-1k Employees,12 years old,Hyderabad/Secunderabad +3 more,Hyderabad/Secunderabad +3 more,Skill Development / Learning,Skill Development / Learning
Cogent,3.4,IT Services & Consulting,51-200 Employees,87 years old,Birmingham +12 more,Birmingham +12 more,N/A,Promotions / Appraisal
Oceanic Pharmachem,4.1,Pharma,11-50 Employees,25 years old,Mumbai +2 more,Mumbai +2 more,"Salary & Benefits, Work Life Balance, Promotions / Appraisal",N/A
Gujarat Energy Transmission Corporation,4.1,Government,10k-50k Employees,State,24 years old,Vadodara +29 more,"Job Security, Work Satisfaction, Skill Development / Learning",N/A
AMS Comtel BPMS,3.6,N/A,N/A,N/A,N/A,N/A,N/A,Promotions / Appraisal
CTX Life Science,4.0,Pharma,201-500 Employees,19 years old,Surat +4 more,Surat +4 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
MAHLE Engine Components,3.5,Automobile,201-500 Employees,103 years old,Stuttgart +15 more,Stuttgart +15 more,N/A,Promotions / Appraisal
Dr. Willmar Schwabe India,4.1,Healthcare,201-500 Employees,157 years old,Karlsruhe +20 more,Karlsruhe +20 more,"Work Life Balance, Company Culture",N/A
Privat Hospital,4.1,Healthcare,201-500 Employees (Global),28 years old,Gurgaon +44 more,Gurgaon +44 more,"Skill Development / Learning, Company Culture, Job Security",N/A
Mahindra Agri Solutions,3.9,Agriculture,201-500 Employees (Global),23 years old,Mumbai +30 more,Mumbai +30 more,Skill Development / Learning,N/A
High Court Lucknow,4.5,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Sellcraft Global Solutions,3.8,IT Services & Consulting,51-200 Employees,36 years old,Pune +8 more,Pune +8 more,Work Life Balance,N/A
IFAS Edutech Private Limited,4.1,EdTech,201-500 Employees,21 years old,Pune +4 more,Pune +4 more,"Company Culture, Skill Development / Learning, Work Satisfaction",N/A
Bizcrum Infotech,3.8,N/A,N/A,N/A,N/A,N/A,"Company Culture, Salary & Benefits, Work Life Balance",N/A
Vogo Automotive,3.8,Internet,51-200 Employees,Startup,7 years old,Montpellier +11 more,Skill Development / Learning,N/A
Radhika Dahlan Consultancy,4.9,Recruitment,51-200 Employees,5 years old,Jaipur +2 more,Jaipur +2 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
7Search PPC,4.8,Marketing & Advertising,201-500 Employees,9 years old,29079 Whitegate Highland +6 more,29079 Whitegate Highland +6 more,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
SLAP,4.0,N/A,N/A,N/A,N/A,N/A,"Company Culture, Skill Development / Learning",N/A
Dollar Industries,4.0,Fashion & Textile,501-1k Employees,Public,27 years old,Kolkata +23 more,"Work Life Balance, Work Satisfaction",N/A
DataTracks,3.4,Financial Services,201-500 Employees,Public,18 years old,Singapore +2 more,N/A,Promotions / Appraisal
Primus Super Speciality Hospital,3.8,Healthcare,201-500 Employees,16 years old,New Delhi +6 more,New Delhi +6 more,N/A,N/A
Nucon Aerospace,3.9,Defence & Aerospace,201-500 Employees,51 years old,Hyderabad +4 more,Hyderabad +4 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Marquis Technologies,3.5,IT Services & Consulting,51-200 Employees,14 years old,Navi Mumbai +6 more,Navi Mumbai +6 more,N/A,N/A
Packt Publishing,4.1,Printing & Publishing,201-500 Employees,19 years old,Colmore Business District +4 more,Colmore Business District +4 more,"Company Culture, Work Life Balance, Work Satisfaction",N/A
Sakshi,4.0,Printing & Publishing,10k-50k Employees,15 years old,Hyderabad +27 more,Hyderabad +27 more,"Job Security, Work Satisfaction",N/A
Ruby General Hospital,3.4,Healthcare,501-1k Employees,Public,28 years old,Kolkata +4 more,N/A,N/A
RS Software,3.7,IT Services & Consulting,201-500 Employees,Public,32 years old,Milpitas +4 more,N/A,N/A
YES,4.1,N/A,N/A,N/A,N/A,N/A,"Job Security, Skill Development / Learning, Work Satisfaction",N/A
Infotech,3.8,IT Services & Consulting,10k-50k Employees,29 years old,Newfoundland and Labrador +26 more,Newfoundland and Labrador +26 more,"Skill Development / Learning, Company Culture, Job Security",N/A
Bonanza Portfolio,3.7,Financial Services,1k-5k Employees,29 years old,New Delhi +28 more,New Delhi +28 more,N/A,N/A
Rimini Street,4.2,IT Services & Consulting,501-1k Employees,Public,11 years old,Las Vegas +1 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
Ravi Foods,4.0,Food Processing,501-1k Employees,35 years old,Hyderabad/Secunderabad +23 more,Hyderabad/Secunderabad +23 more,"Skill Development / Learning, Job Security, Work Life Balance",N/A
Ven Consulting,3.5,Recruitment,51-200 Employees,13 years old,Bengaluru +21 more,Bengaluru +21 more,N/A,N/A
DE Shaw,3.9,Software Product,1k-5k Employees,27 years old,Hyderabad/Secunderabad +5 more,Hyderabad/Secunderabad +5 more,"Salary & Benefits, Company Culture, Job Security",N/A
Xotik Frujus,3.6,Beverage,201-500 Employees,16 years old,Mumbai +29 more,Mumbai +29 more,N/A,N/A
Maharashtra Natural GAS,3.6,Oil & Gas,501-1k Employees,17 years old,Pune +7 more,Pune +7 more,N/A,N/A
Krystal Integrated Services,4.0,Facility Management Services,201-500 Employees,23 years old,Mumbai +15 more,Mumbai +15 more,Work Life Balance,N/A
SrinSoft Technologies,3.4,IT Services & Consulting,201-500 Employees,18 years old,New York +2 more,New York +2 more,N/A,N/A
Executive Ship Management,3.9,Ports & Shipping,1k-5k Employees,25 years old,Singapore +8 more,Singapore +8 more,"Job Security, Skill Development / Learning",N/A
Accountant Anywhere Services,4.1,BPO,1-10 Employees,22 years old,Pune +37 more,Pune +37 more,"Skill Development / Learning, Work Satisfaction, Company Culture",N/A
Aster Cmi Hospital,4.1,Healthcare,201-500 Employees,Public,36 years old,Bangalore/Bengaluru +3 more,"Skill Development / Learning, Company Culture, Job Security",N/A
INTERPLEX,4.1,N/A,N/A,N/A,N/A,N/A,"Job Security, Skill Development / Learning, Company Culture",N/A
Maharashtra Natural GAS,3.6,Oil & Gas,501-1k Employees,17 years old,Pune +7 more,Pune +7 more,N/A,N/A
YES,4.1,N/A,N/A,N/A,N/A,N/A,"Job Security, Skill Development / Learning, Work Satisfaction",N/A
Infotech,3.8,IT Services & Consulting,10k-50k Employees,29 years old,Newfoundland and Labrador +26 more,Newfoundland and Labrador +26 more,"Skill Development / Learning, Company Culture, Job Security",N/A
Bonanza Portfolio,3.7,Financial Services,1k-5k Employees,29 years old,New Delhi +28 more,New Delhi +28 more,N/A,N/A
Nucon Aerospace,3.9,Defence & Aerospace,201-500 Employees,51 years old,Hyderabad +4 more,Hyderabad +4 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Ravi Foods,4.0,Food Processing,501-1k Employees,35 years old,Hyderabad/Secunderabad +23 more,Hyderabad/Secunderabad +23 more,"Skill Development / Learning, Job Security, Work Life Balance",N/A
Ven Consulting,3.5,Recruitment,51-200 Employees,13 years old,Bengaluru +21 more,Bengaluru +21 more,N/A,N/A
DataTracks,3.4,Financial Services,201-500 Employees,Public,18 years old,Singapore +2 more,N/A,Promotions / Appraisal
Krystal Integrated Services,4.0,Facility Management Services,201-500 Employees,23 years old,Mumbai +15 more,Mumbai +15 more,Work Life Balance,N/A
SrinSoft Technologies,3.4,IT Services & Consulting,201-500 Employees,18 years old,New York +2 more,New York +2 more,N/A,N/A
Executive Ship Management,3.9,Ports & Shipping,1k-5k Employees,25 years old,Singapore +8 more,Singapore +8 more,"Job Security, Skill Development / Learning",N/A
Ruby General Hospital,3.4,Healthcare,501-1k Employees,Public,28 years old,Kolkata +4 more,N/A,N/A
Primus Super Speciality Hospital,3.8,Healthcare,201-500 Employees,16 years old,New Delhi +6 more,New Delhi +6 more,N/A,N/A
Avance Consulting Services,3.9,Recruitment,501-1k Employees,16 years old,London +2 more,London +2 more,N/A,N/A
Xotik Frujus,3.6,Beverage,201-500 Employees,16 years old,Mumbai +29 more,Mumbai +29 more,N/A,N/A
Marquis Technologies,3.5,IT Services & Consulting,51-200 Employees,14 years old,Navi Mumbai +6 more,Navi Mumbai +6 more,N/A,N/A
Dish Infra Services,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exel Rubber,4.1,Petrochemicals,51-200 Employees,Public,33 years old,Hyderabad +5 more,"Work Life Balance, Company Culture, Job Security",N/A
Shankar Electricals,4.0,Electrical Equipment,201-500 Employees,4 years old,Bengaluru +7 more,Bengaluru +7 more,Job Security,N/A
Rimini Street,4.2,IT Services & Consulting,501-1k Employees,Public,11 years old,Las Vegas +1 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
Harbinger Systems,3.7,Software Product,501-1k Employees,33 years old,Pune,Pune,Skill Development / Learning,N/A
Accountant Anywhere Services,4.1,BPO,1-10 Employees,22 years old,Pune +37 more,Pune +37 more,"Skill Development / Learning, Work Satisfaction, Company Culture",N/A
Aster Cmi Hospital,4.1,Healthcare,201-500 Employees,Public,36 years old,Bangalore/Bengaluru +3 more,"Skill Development / Learning, Company Culture, Job Security",N/A
Logelite,4.5,Marketing & Advertising,51-200 Employees,7 years old,Lucknow +3 more,Lucknow +3 more,"Company Culture, Work Satisfaction, Work Life Balance",N/A
Relevel,2.9,N/A,N/A,N/A,N/A,N/A,N/A,"Job Security, Work Satisfaction, Promotions / Appraisal"
Hero Vired,3.9,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
QualiZeal,4.6,IT Services & Consulting,201-500 Employees,Startup,2 years old,Irving,"Company Culture, Skill Development / Learning, Job Security",N/A
Marsh McLennan Global Services,4.4,N/A,N/A,N/A,N/A,N/A,"Job Security, Company Culture, Work Life Balance",N/A
AML RightSource,3.0,N/A,N/A,N/A,N/A,N/A,N/A,"Job Security, Company Culture, Promotions / Appraisal"
Preet Tractors,2.7,Automobile,51-200 Employees,21 years old,Patiala +22 more,Patiala +22 more,N/A,"Company Culture, Work Satisfaction, Promotions / Appraisal"
EDR Continuous Information,3.2,IT Services & Consulting,51-200 Employees,25 years old,Nagpur +3 more,Nagpur +3 more,N/A,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Sankara Eye Hospital,4.5,Healthcare,1k-5k Employees,46 years old,Coimbatore +16 more,Coimbatore +16 more,"Company Culture, Skill Development / Learning, Job Security",N/A
J&F,4.0,Engineering & Construction,201-500 Employees,6 years old,Pour +4 more,Pour +4 more,"Work Life Balance, Skill Development / Learning, Salary & Benefits",N/A
Goel Ganga Developments,4.0,Real Estate,51-200 Employees,41 years old,Pune +1 more,Pune +1 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
KRYFS POWER COMPONENTS,4.1,Industrial Machinery,201-500 Employees,31 years old,Mumbai +13 more,Mumbai +13 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Indian Acrylics,3.7,Chemicals,501-1k Employees,Public,30 years old,Chandigarh +7 more,N/A,N/A
Elkayem Auto Ancillaries,3.5,Industrial Machinery,51-200 Employees,35 years old,Hosur +2 more,Hosur +2 more,N/A,Company Culture
sri chaitanya techno school,3.9,N/A,N/A,N/A,N/A,N/A,"Job Security, Skill Development / Learning",N/A
Toshiba Water Solutions,3.9,N/A,N/A,N/A,N/A,N/A,"Job Security, Work Life Balance",N/A
Sri Ramachandra Institute of Higher Education and Research,4.1,Education & Training,201-500 Employees,33 years old,Chennai +7 more,Chennai +7 more,"Job Security, Work Life Balance, Skill Development / Learning",N/A
DigiLantern,4.3,IT Services & Consulting,51-200 Employees,9 years old,Noida +3 more,Noida +3 more,"Salary & Benefits, Skill Development / Learning, Work Life Balance",N/A
Toppan Merrill Technology Services India,3.9,N/A,N/A,N/A,N/A,N/A,"Job Security, Company Culture, Work Life Balance",N/A
Cogito Tech,3.3,N/A,N/A,N/A,N/A,N/A,N/A,"Job Security, Promotions / Appraisal"
Sushima Pharmaceuticals,4.3,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Salary & Benefits, Work Life Balance",N/A
Osam Dairy,3.7,Agriculture,201-500 Employees,13 years old,Ranchi +15 more,Ranchi +15 more,N/A,N/A
Meinhardt Group,3.4,Engineering & Construction,201-500 Employees,26 years old,Bukit Merah +22 more,Bukit Merah +22 more,N/A,"Promotions / Appraisal, Salary & Benefits, Job Security"
Little Nap Recliners,4.8,N/A,N/A,N/A,N/A,N/A,"Company Culture, Skill Development / Learning, Job Security",N/A
UNITILE,4.6,Building Material,201-500 Employees,29 years old,Mumbai +12 more,Mumbai +12 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
John Cockerill,3.8,501-1k Employees,Public,37 years old,Mumbai +3 more,Mumbai +3 more,N/A,N/A
Ms Agarwal Foundries,3.8,Iron & Steel,51-200 Employees,33 years old,Secunderabad +6 more,Secunderabad +6 more,N/A,N/A
Groupe Seb,3.5,Consumer Electronics & Appliances,201-500 Employees,50 years old,Ecully +28 more,Ecully +28 more,N/A,"Job Security, Work Satisfaction"
Sikka Group,3.1,Real Estate,201-500 Employees,37 years old,New Delhi +6 more,New Delhi +6 more,N/A,"Company Culture, Promotions / Appraisal, Skill Development / Learning"
Rio Tinto,3.8,Metals & Mining,201-500 Employees,Forbes Global 2000,150 years old,London +6 more,Work Life Balance,Work Life Balance
OptiSol Business Solutions,4.2,IT Services & Consulting,201-500 Employees,17 years old,Chennai +3 more,Chennai +3 more,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Keppel Offshore & Marine,3.6,Engineering & Construction,51-200 Employees,21 years old,Mumbai +10 more,Mumbai +10 more,"Company Culture, Skill Development / Learning, Work Satisfaction",N/A
HWASHIN Automotive,4.1,Auto Components,201-500 Employees,21 years old,Chennai +3 more,Chennai +3 more,Job Security,N/A
Pebs Pennar,3.5,Engineering & Construction,501-1k Employees,15 years old,Hyderabad +12 more,Hyderabad +12 more,N/A,Salary & Benefits
MELCO,3.7,Industrial Machinery,11-50 Employees,28 years old,Faridabad +21 more,Faridabad +21 more,Skill Development / Learning,N/A
Ajmal Perfumes,4.0,Beauty & Personal Care,501-1k Employees (Global),72 years old,Dubai +20 more,Dubai +20 more,N/A,N/A
Shri Mahant Indiresh Hospital,4.1,Healthcare,501-1k Employees,21 years old,Dehradun +5 more,Dehradun +5 more,"Skill Development / Learning, Work Satisfaction, Job Security",N/A
ECE Industries,3.7,Electrical Equipment,201-500 Employees,Public,78 years old,Delhi/NCR +21 more,N/A,N/A
Rich Graviss Products,4.2,FMCG,201-500 Employees,29 years old,Mumbai +17 more,Mumbai +17 more,"Company Culture, Skill Development / Learning, Work Satisfaction",N/A
Cherry Hill Interiors,3.8,Architecture & Interior Design,201-500 Employees,36 years old,New Delhi +9 more,New Delhi +9 more,Skill Development / Learning,N/A
Cinda Engineering & Construction,4.0,Engineering & Construction,51-200 Employees,15 years old,Noida +13 more,Noida +13 more,"Work Life Balance, Job Security",N/A
Hitachi Home & Life Solutions,4.1,Industrial Machinery,1-10 Employees,39 years old,Kadi +20 more,Kadi +20 more,"Skill Development / Learning, Work Life Balance, Salary & Benefits",N/A
Ishan Technologies,4.0,Internet,1k-5k Employees,23 years old,Ahmedabad +26 more,Ahmedabad +26 more,"Work Life Balance, Company Culture, Job Security",N/A
STJ Electronics,3.6,Semiconductors,51-200 Employees,37 years old,Delhi/NCR +9 more,Delhi/NCR +9 more,N/A,Promotions / Appraisal
UAS International,4.4,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Choice Solutions (India),3.4,IT Services & Consulting,501-1k Employees,38 years old,Hyderabad/Secunderabad +12 more,Hyderabad/Secunderabad +12 more,N/A,N/A
Chetak Enterprises,3.7,Engineering & Construction,51-200 Employees,Public,23 years old,Mumbai +16 more,N/A,N/A
ASSA ABLOY,3.7,Real Estate,51-200 Employees,Public,18 years old,Stockholm +21 more,Work Life Balance,N/A
Radius Global Solutions,3.0,BPO,501-1k Employees,10 years old,Minneapolis +2 more,Minneapolis +2 more,N/A,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
Greenlight Planet,4.3,Power,201-500 Employees,15 years old,Chicago +25 more,Chicago +25 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
PACL India,4.0,Real Estate,1k-5k Employees (Global),27 years old,New Delhi +42 more,New Delhi +42 more,"Job Security, Work Life Balance, Work Satisfaction",N/A
Costa Coffee,4.0,Beverage,10k-50k Employees,52 years old,Dunstable +21 more,Dunstable +21 more,N/A,N/A
B. E. Billimoria,3.9,Engineering & Construction,201-500 Employees,65 years old,Mumbai +11 more,Mumbai +11 more,N/A,N/A
SDG Software,4.1,IT Services & Consulting,201-500 Employees,30 years old,Noida +3 more,Noida +3 more,"Work Life Balance, Company Culture, Salary & Benefits",N/A
Bansal Hospital,4.0,Healthcare,1-10 Employees,25 years old,New Delhi +15 more,New Delhi +15 more,"Skill Development / Learning, Work Life Balance",N/A
Rabindranath Tagore International Institute of Cardiac Sciences,3.9,Healthcare,201-500 Employees,Public,23 years old,Kolkata +4 more,"Skill Development / Learning, Job Security",N/A
Alstrong Enterprises,4.2,Building Material,201-500 Employees,22 years old,Delhi/NCR +23 more,Delhi/NCR +23 more,"Work Life Balance, Job Security, Company Culture",N/A
Ingenero Technologies,4.4,Oil & Gas,201-500 Employees,21 years old,Houston +2 more,Houston +2 more,"Job Security, Company Culture, Work Life Balance",N/A
eSense Learning,3.8,EdTech,201-500 Employees,15 years old,Mumbai +17 more,Mumbai +17 more,Company Culture,N/A
Technocraft Industries,4.0,Industrial Machinery,1k-5k Employees,Public,51 years old,Mumbai +7 more,"Skill Development / Learning, Work Life Balance",N/A
Shree Technocrat Communication Systems,3.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manipal HealthMap,3.9,Healthcare,201-500 Employees,8 years old,New Delhi +26 more,New Delhi +26 more,N/A,N/A
Sila Solutions,3.9,Real Estate,5k-10k Employees,13 years old,Mumbai +14 more,Mumbai +14 more,N/A,N/A
DigiVersal Consultants,2.9,Internet,201-500 Employees,Startup,8 years old,Noida +2 more,N/A,"Promotions / Appraisal, Work Life Balance, Salary & Benefits"
