Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
HCL Group,3.7,IT Services & Consulting,1 Lakh+ Employees,47 years old,Chennai +70 more,Chennai +70 more,Job Security,N/A
Lupin,4.1,Pharma,10k-50k Employees,Public,55 years old,Mumbai +159 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Indian Army,4.7,Defence & Aerospace,1 Lakh+ Employees,Public,128 years old,New Delhi +311 more,"Job Security, Company Culture, Work Satisfaction",N/A
Bajaj Finance,4.0,NBFC,10k-50k Employees,36 years old,Pune +725 more,Pune +725 more,"Salary & Benefits, Skill Development / Learning, Job Security",N/A
TATA Steel,4.1,Iron & Steel,1 Lakh+ Employees,Public,116 years old,Mumbai +156 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
Udaan,4.0,Internet,1k-5k Employees,Indian Unicorn,7 years old,Bangalore +330 more,"Salary & Benefits, Skill Development / Learning",N/A
L&T Infotech,3.8,IT Services & Consulting,10k-50k Employees,Public,27 years old,Mumbai +74 more,Job Security,N/A
ITC,3.9,FMCG,10k-50k Employees,Public,48 years old,Kolkata +285 more,"Job Security, Skill Development / Learning",N/A
Zydus Lifesciences,4.1,Pharma,10k-50k Employees,Public,71 years old,Ahmedabad +141 more,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
Wells Fargo,4.1,Banking,10k-50k Employees,Public,171 years old,San Francisco +20 more,"Job Security, Work Life Balance, Company Culture",N/A
JP Morgan Chase,4.2,Financial Services,50k-1 Lakh Employees,Forbes Global 2000,23 years old,New York +32 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Delhivery,4.0,10k-50k Employees,Fortune India 500,12 years old,Delhi +582 more,Delhi +582 more,Skill Development / Learning,N/A
FIS,3.9,FinTech,10k-50k Employees,55 years old,Jacksonville +38 more,Jacksonville +38 more,"Work Life Balance, Company Culture, Job Security",N/A
Quess,4.0,Recruitment,1 Lakh+ Employees,Public,16 years old,Bangalore +477 more,Work Life Balance,N/A
Hindustan Unilever,4.2,FMCG,10k-50k Employees,Public,151 years old,London +403 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Amazon Development Centre India,4.2,N/A,N/A,N/A,N/A,N/A,"Company Culture, Salary & Benefits, Work Life Balance",N/A
IIFL Finance,3.9,NBFC,10k-50k Employees,Public,28 years old,Mumbai +631 more,N/A,N/A
Hexaware Technologies,3.7,IT Services & Consulting,10k-50k Employees,Fortune India 500,33 years old,Mumbai +39 more,N/A,N/A
Sun Pharmaceutical Industries,4.1,Pharma,10k-50k Employees,Public,40 years old,Mumbai +185 more,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
JSW Steel,3.9,Iron & Steel,10k-50k Employees,Public,41 years old,Mumbai +122 more,"Job Security, Skill Development / Learning",N/A
Home Credit Finance,4.1,Financial Services,10k-50k Employees,11 years old,Gurugram +109 more,Gurugram +109 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Ujjivan Small Finance Bank,4.1,Banking,10k-50k Employees,Public,6 years old,Bangalore/Bengaluru +415 more,"Company Culture, Job Security, Skill Development / Learning",N/A
Max Life Insurance,4.1,Insurance,10k-50k Employees,23 years old,Gurgaon/Gurugram +363 more,Gurgaon/Gurugram +363 more,"Company Culture, Skill Development / Learning, Job Security",N/A
KPMG India,3.6,Management Consulting,10k-50k Employees,36 years old,Bengaluru/Bangalore +74 more,Bengaluru/Bangalore +74 more,Job Security,N/A
Shapoorji Pallonji Group,4.2,Engineering & Construction,5k-10k Employees,Conglomerate,158 years old,Mumbai +153 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Oracle,3.9,Software Product,50k-1 Lakh Employees,Public,46 years old,Austin +41 more,"Work Life Balance, Job Security, Company Culture",N/A
Aurobindo Pharma,4.0,Pharma,10k-50k Employees,Public,37 years old,Hyderabad/Secunderabad +82 more,"Job Security, Work Life Balance, Salary & Benefits",N/A
Muthoot Finance,3.6,NBFC,10k-50k Employees,Public,84 years old,Kochi/Cochin +595 more,N/A,N/A
OPPO,3.9,Consumer Electronics & Appliances,10k-50k Employees,Public,19 years old,Dongguan +355 more,Skill Development / Learning,N/A
eClerx,3.4,IT Services & Consulting,10k-50k Employees,Public,23 years old,Mumbai +17 more,N/A,"Promotions / Appraisal, Salary & Benefits"
Ashok Leyland,4.1,Automobile,10k-50k Employees,Public,75 years old,Chennai +199 more,"Skill Development / Learning, Work Satisfaction, Company Culture",N/A
Capgemini Technology Services India Limited,4.0,N/A,N/A,N/A,N/A,N/A,"Job Security, Work Life Balance, Company Culture",N/A
Shriram Transport Finance,4.1,NBFC,10k-50k Employees,Public,44 years old,Mumbai +757 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
Tata Projects,4.2,Engineering & Construction,5k-10k Employees,Public,44 years old,Mumbai +230 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Siemens,4.2,Power,5k-10k Employees,Public,176 years old,Munich +121 more,"Job Security, Company Culture, Work Life Balance",N/A
Apollo Hospitals,4.1,Healthcare,10k-50k Employees,Public,40 years old,Chennai +174 more,"Job Security, Skill Development / Learning, Company Culture",N/A
JLL,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,26 years old,Mumbai +67 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Vivo,4.0,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,14 years old,Gurgaon/Gurugram +362 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
L&T Construction,4.0,Engineering & Construction,10k-50k Employees,Public,79 years old,Chennai +323 more,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
First Source,3.8,BPO,10k-50k Employees,Public,22 years old,Mumbai +51 more,N/A,N/A
JustDial,3.5,Internet,10k-50k Employees,Public,27 years old,Mumbai +165 more,N/A,N/A
Omega Healthcare,3.8,Healthcare,10k-50k Employees,20 years old,Florida +37 more,Florida +37 more,N/A,N/A
Hero MotoCorp,4.1,Automobile,5k-10k Employees,Public,39 years old,Gurgaon/Gurugram +299 more,"Work Life Balance, Job Security, Company Culture",N/A
